,chi_x,t_x,chi_1,t_1,chi_2,t_2,chi_3,t_3,chi_4,t_4,chi_5,t_5,chi_6,t_6,chi_7,t_7,chi_8,t_8,chi_9,t_9,chi_10,t_10,chi_11,t_11,chi_12,t_12,chi_13,t_13,chi_14,t_14
0,0.0,-20.0,0.0,0.0007937902398598273,0.0,0.0001240683253865215,0.0,2.0368165388191246e-05,0.0,3.657866349659307e-06,0.0,7.142969583123891e-07,0.0,1.5017025216488752e-07,0.0,3.36872538179281e-08,0.0,8.004003688365933e-09,0.0,2.002012593486804e-09,0.0,5.245167680439586e-10,0.0,1.433370230046097e-10,0.0,4.07116632622012e-11,0.0,1.1981730099717056e-11,0.0,3.6443415388695484e-12
1,0.0,-19.607843137254903,0.0,0.0008257761701454912,0.5,0.00013162261421688514,0.0,2.203390211738475e-05,0.0,4.034544262623509e-06,0.0,8.032119480455606e-07,0.0,1.7213843785839208e-07,0.0,3.936047590428049e-08,0.0,9.531501196260595e-09,0.0,2.42962331548876e-09,0.0,6.486475178145901e-10,0.0,1.8061110034008776e-10,0.0,5.2263839452950515e-11,0.0,1.5669618973090163e-11,0.0,4.854837967587783e-12
2,1e-06,-19.215686274509803,398.9420809303426,0.0008597332858055598,0.4999997500000625,0.0001398019706788689,0.00039894208093034245,2.3873157402782563e-05,2.499998750000312e-07,4.458648479140632e-06,1.3298069364344738e-10,9.052826745798525e-07,6.249996875000815e-14,1.9784840524070516e-07,2.659613872868951e-17,4.6128717754738584e-08,1.0416661458334665e-20,1.138897755019592e-08,3.7994483898127815e-24,2.9595872654672423e-09,1.3020826822918265e-27,8.054275122792342e-10,4.221609322014224e-31,2.2858340254099888e-10,1.3020826822918302e-34,6.741266710601108e-11,3.837826656376589e-38,2.059663613445701e-11,1.0850689019098576e-41,6.502319484194891e-12
3,0.01,-18.823529411764707,3.9695254747701174,0.0008958267887224097,0.49750623959634116,0.0001486723084557587,0.03969525474770119,2.5908040629477793e-05,0.002487531197981707,4.937279187034205e-06,0.00013231751582567066,1.0227762311953686e-06,6.218827994954263e-06,2.2803082012583508e-07,2.646350316513414e-07,5.423129217922132e-08,1.036471332492379e-08,1.3656338095981658e-08,3.7805004521620314e-10,3.6191399964904836e-09,1.2955891656154776e-11,1.0043371615796944e-09,4.200556057957808e-13,2.9062375026855606e-10,1.2955891656154778e-14,8.738082107741777e-11,3.818687325416187e-16,2.7215375785397778e-11,1.0796576380128943e-17,8.757605004348423e-12
4,0.413939393939394,-18.431372549019606,0.5041454927328453,0.0009342395392964348,0.40652214365997624,0.0001583080478528767,0.20868567971911114,2.8164012390883357e-05,0.08413776488477691,5.47877507945515e-06,0.028794407928919775,1.158407758961752e-06,0.008706983850954943,2.635779488040294e-07,0.0023838279533881465,6.396615501701942e-08,0.0006006939363840631,1.6435004228752622e-08,0.00014096575689732515,4.44351984131333e-09,3.1081360496236015e-05,1.2578787526879834e-09,6.483475552920749e-06,3.712612265680663e-10,1.2865799526623755e-06,1.1384291196337035e-10,2.4397872190880855e-07,3.6157477949188155e-11,4.4380510488303226e-08,1.1863586473641335e-11
5,0.817878787878788,-18.03921568627451,0.29306602327908543,0.0009751743684212854,0.33217724750545574,0.00016879342253175373,0.23969248388795508,3.0670476602171536e-05,0.13584036227533716,6.092961209102342e-06,0.06534646606197887,1.3154407723975892e-06,0.02777523771069206,3.0558374546021915e-07,0.010689097690986726,7.57058892574335e-08,0.0037861296253110023,1.9854312752188505e-08,0.001248912323288882,5.4785498897938405e-09,0.0003870743885876661,1.582628684443072e-09,0.0001134954330153768,4.76617899740033e-10,3.165799317570041e-05,1.4910645507672805e-10,8.438682471308609e-06,4.831009709771082e-11,2.1577000904347335e-06,1.6167958396448744e-11
6,1.221818181818182,-17.647058823529413,0.19592611496946513,0.0010188567500705016,0.2714285690980538,0.00018022402037825525,0.239386089562692,3.3461492698836445e-05,0.16581818039444743,6.791453064080501e-06,0.09749542556735091,1.497812690613586e-06,0.05064991692048576,3.553950041437731e-07,0.023824336720458122,8.991850282244249e-08,0.010314164900171646,2.4080005670491494e-08,0.004158429682116324,6.784130220486706e-09,0.0015752542756625775,2.000688278849829e-09,0.0005645383326024589,6.150183820388661e-10,0.00019246743149913678,1.9637109126528009e-10,6.270574537336411e-05,6.492752913197392e-11,1.9596683934457595e-05,2.2171903772085294e-11
7,1.625757575757576,-17.254901960784313,0.13878847397428531,0.0010655379001623419,0.22178962790462314,0.00019270860668895847,0.22563641299152754,3.657663553901612e-05,0.18028808389519752,7.588031180297933e-06,0.12227670259591364,1.7102926224339486e-06,0.0732761795528587,4.146769506119144e-07,0.039758455116792546,1.0719463265006012e-07,0.019854884005105395,2.932555678359241e-08,0.009233944229506148,8.438989565558498e-09,0.004034903510886005,2.5416968056429313e-09,0.0016680171983602847,7.978522201024347e-10,0.0006559774950273763,2.601024937813638e-10,0.00024652650879346933,8.779535460594466e-11,8.887169850560283e-05,3.060306886439145e-11
8,2.0296969696969698,-16.862745098039216,0.10149657032192647,0.001115498381117837,0.18122867172578674,0.0002063712891132535,0.20600728121704953,4.0062037762048775e-05,0.18391964291201815,8.499104663946104e-06,0.13937745147391895,1.9586806332826887e-06,0.093325285471568,4.854977809748777e-07,0.05657879818013996,1.2828332383006637e-07,0.03157034151962436,3.586737150296527e-08,0.016405402173618064,1.0547190805228112e-08,0.008009778314334998,3.2456429380921925e-09,0.0036997772309391866,1.0408024252510707e-09,0.001625742277255026,3.465756152148544e-10,0.0006826751485628291,1.1947363727164226e-10,0.0002749803478043978,4.2525810357499524e-11
9,2.4336363636363636,-16.470588235294116,0.07573991283229962,0.0011690523085452294,0.14808551583673196,0.00022135409799553193,0.18432340604733283,4.3971658542588946e-05,0.18019314813405976,9.544287329116385e-06,0.14952538120869996,2.2500606417100026e-06,0.10963114944429049,5.704382006011158e-07,0.07277808099921632,1.5413935555148038e-07,0.04446705864581296,4.406530858443284e-08,0.0253021977707665,1.3247095168291193e-08,0.01352708136305015,4.166818120117277e-09,0.006841816508317369,1.365608161412823e-09,0.003291999709898659,4.6466991178903933e-10,0.0015136812225426124,1.6366009027907944e-10,0.0006676275169241444,5.95091196183723e-11
10,2.837575757575758,-16.07843137254902,0.05731451035113396,0.001226552277647055,0.12100359061181988,0.0002378200737868982,0.16263426512970255,4.836883457339551e-05,0.17167842764986083,1.0747117199088818e-05,0.15382901602773077,2.5931230298326954e-06,0.1217876360994922,6.727341438927677e-07,0.08730029733840429,1.8598621245695142e-07,0.057596940628062886,5.439056266577302e-08,0.03538874390808735,1.6723797364056904e-08,0.020429460304590176,5.379415074606092e-09,0.011157582422738382,1.8026127057674886e-09,0.0057970141300661355,6.270425240159569e-10,0.002878225945083258,2.257368210254433e-10,0.0013707888968166491,8.388457717198725e-11
11,3.2415151515151517,-15.686274509803923,0.04381773920603415,0.001288395153390735,0.09887441630075383,0.00025595697618382236,0.14203586554149922,5.3328184593787875e-05,0.1602514592680551,1.213595948017063e-05,0.15347047007044615,2.9985783918299805e-06,0.12986438331745348,7.964638008149835e-07,0.09949537080870074,2.2540039237319042e-07,0.07015956102761613,6.746379761928997e-08,0.046073678854574536,2.1226496143380447e-08,0.028427910011833694,6.9855145283559826e-09,0.016594280899238516,2.394475075157829e-09,0.009214950102926825,8.518731098271638e-10,0.0048900557239436515,3.136004374815152e-10,0.002489200031591116,1.191461086659011e-10
12,3.6454545454545455,-15.294117647058822,0.03376244000997834,0.0013550289016941706,0.08079223227496371,0.00027598175912708,0.12307944040001194,5.8937959055163744e-05,0.14726220519209296,1.374514563311541e-05,0.14956016848607515,3.479691135882632e-06,0.13420941882279383,9.467941824134378e-07,0.10904295920530205,2.7442500808493056e-07,0.08154238931506112,8.410765756944072e-08,0.056787307326397536,2.7092935668618942e-08,0.037157384221976696,9.126566351144875e-09,0.02300172751301558,3.2016203632473484e-09,0.013545555520920608,1.1654807881137629e-09,0.007622886555966332,4.3893348349646727e-10,0.004114975578703913,1.7057517867574273e-10
13,4.04939393939394,-14.901960784313726,0.026175822082251863,0.0014269606808055134,0.06601692369153254,0.0002981459938028676,0.10599621529852474,6.530295322246229e-05,0.13366426534696202,1.5616418010878235e-05,0.14307347727618033,4.052971678719117e-06,0.1353148165023829,1.1303082240601419e-06,0.11587217435403631,3.357238919476204e-07,0.09132383297582534,1.0541959413703068e-07,0.06703029722480461,3.4784056545284183e-08,0.04622577197181645,1.2000025859224272e-08,0.03015911992643315,4.310310428353484e-09,0.01871863608664799,1.6062835549230604e-09,0.01110237794977758,6.191696774666396e-10,0.006316594293582744,2.4622787655918193e-10
14,4.453333333333334,-14.509803921568627,0.020395690721433074,0.0015047664652809423,0.05394372814036211,0.0003227424710885883,0.09082880934611529,7.254813741429568e-05,0.12011470132587299,1.7800772351360404e-05,0.1348303214293445,4.739079850487244e-06,0.13372770080947194,1.3554415839536572e-06,0.12008887295306948,4.127921121608054e-07,0.09925567126747475,1.3287362429325005e-07,0.07639939726919089,4.4933509350884414e-08,0.05525232367222759,1.5883660605289856e-08,0.037803553611718124,5.844699078392868e-09,0.024605701475365355,2.2308435684458816e-09,0.015304711401592593,8.805604854844061e-10,0.009131449214191154,3.58508812017241e-10
